WFRMS, V_rate
-3.30, 0.00000
-3.25, 0.00000
-3.20, 0.00000
-3.15, 0.00000
-3.10, 0.00000
-3.05, 0.00000
-3.00, 0.00000
-2.95, 0.00000
-2.90, 0.07991
-2.85, 0.07991
-2.80, 0.07991
-2.75, 0.07991
-2.70, 0.07991
-2.65, 0.07991
-2.60, 0.23969
-2.55, 0.31959
-2.50, 0.47933
-2.45, 0.55916
-2.40, 0.55916
-2.35, 0.63909
-2.30, 0.71901
-2.25, 0.95865
-2.20, 1.03855
-2.15, 1.11845
-2.10, 1.51796
-2.05, 1.59785
-2.00, 1.75764
-1.95, 2.15713
-1.90, 2.71643
-1.85, 3.19586
-1.80, 3.51545
-1.75, 4.39418
-1.70, 5.19302
-1.65, 6.71095
-1.60, 8.46829
-1.55, 9.34698
-1.50, 10.06602
-1.45, 10.38562
-1.40, 10.86487
-1.35, 11.18452
-1.30, 11.42418
-1.25, 12.06331
-1.20, 12.22315
-1.15, 12.30306
-1.10, 12.54278
-1.05, 12.62263
-1.00, 12.86231
-0.95, 13.34151
-0.90, 13.58126
-0.85, 13.74082
-0.80, 13.74082
-0.75, 13.74082
-0.70, 13.74082
-0.65, 13.74082
-0.60, 13.90064
-0.55, 13.90064
-0.50, 13.98050
-0.45, 13.98050
-0.40, 13.98050
-0.35, 14.14029
-0.30, 14.14029
-0.25, 14.14029
-0.20, 14.14029
-0.15, 14.14029
-0.10, 14.22002
-0.05, 14.22002
0.00, 14.22002
0.05, 14.22002
0.10, 14.22002
0.15, 14.22002
0.20, 14.22002
0.25, 14.22002
0.30, 14.22002
0.35, 14.22002
0.40, 14.22002
0.45, 14.22002
0.50, 14.22002
0.55, 14.22002
0.60, 14.22002
0.65, 14.22002
0.70, 14.22002
0.75, 14.22002
0.80, 14.22002
0.85, 14.22002
0.90, 14.22002
0.95, 14.22002
1.00, 14.22002
1.05, 14.22002
1.10, 14.22002
1.15, 14.22002
1.20, 14.22002
1.25, 14.22002
1.30, 14.22002
1.35, 14.22002
1.40, 14.22002
1.45, 14.22002
1.50, 14.22002
1.55, 14.22002
1.60, 14.22002
1.65, 14.22002
1.70, 14.22002
1.75, 14.22002
1.80, 14.22002
1.85, 14.22002
1.90, 14.22002
1.95, 14.22002
2.00, 14.22002
2.05, 14.22002
2.10, 14.22002
2.15, 14.22002
2.20, 14.22002
2.25, 14.22002
2.30, 14.22002
2.35, 14.22002
2.40, 14.22002
2.45, 14.22002
2.50, 14.22002
2.55, 14.22002
2.60, 14.22002
2.65, 14.22002
2.70, 14.22002
2.75, 14.22002
2.80, 14.22002
2.85, 14.22002
2.90, 14.22002
2.95, 14.22002
3.00, 14.22002
3.05, 100.07949
3.10, 100.07949
3.15, 100.07949
3.20, 100.07949
3.25, 100.07949
3.30, 100.07949
3.35, 100.07949
3.40, 100.07949
3.45, 100.07949
3.50, 100.07949
3.55, 100.07949
3.60, 100.07949
3.65, 100.07949
3.70, 100.07949
3.75, 100.07949
3.80, 100.07949
3.85, 100.07949
3.90, 100.07949
3.95, 100.07949
4.00, 100.07949
4.05, 100.07949
4.10, 100.07949
4.15, 100.07949
4.20, 100.07949
4.25, 100.07949
4.30, 100.07949
4.35, 100.07949
4.40, 100.07949
4.45, 100.07949
4.50, 100.07949
4.55, 100.07949
4.60, 100.07949
4.65, 100.07949
4.70, 100.07949
4.75, 100.07949
4.80, 100.07949
4.85, 100.07949
4.90, 100.07949
4.95, 100.07949
WFRMS, V_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
-4.00, 0.00000
-3.95, 0.00000
-3.90, 0.00000
-3.85, 0.00000
-3.80, 0.00000
-3.75, 0.00000
-3.70, 0.00000
-3.65, 0.00000
-3.60, 0.00000
-3.55, 0.00000
-3.50, 0.00000
-3.45, 0.00000
-3.40, 0.00016
-3.35, 0.00016
-3.30, 0.00032
-3.25, 0.00032
-3.20, 0.00032
-3.15, 0.00032
-3.10, 0.00032
-3.05, 0.00032
-3.00, 0.00032
-2.95, 0.00032
-2.90, 0.00032
-2.85, 0.00063
-2.80, 0.00095
-2.75, 0.00127
-2.70, 0.00159
-2.65, 0.00270
-2.60, 0.00317
-2.55, 0.00444
-2.50, 0.00492
-2.45, 0.00682
-2.40, 0.00841
-2.35, 0.01095
-2.30, 0.01301
-2.25, 0.01745
-2.20, 0.02110
-2.15, 0.02602
-2.10, 0.03395
-2.05, 0.04331
-2.00, 0.05506
-1.95, 0.06695
-1.90, 0.08409
-1.85, 0.10678
-1.80, 0.13232
-1.75, 0.16850
-1.70, 0.21165
-1.65, 0.27290
-1.60, 0.33906
-1.55, 0.41886
-1.50, 0.51454
-1.45, 0.63004
-1.40, 0.76046
-1.35, 0.91341
-1.30, 1.09539
-1.25, 1.29547
-1.20, 1.52870
-1.15, 1.79493
-1.10, 2.09496
-1.05, 2.44465
-1.00, 2.83241
-0.95, 3.25493
-0.90, 3.72901
-0.85, 4.25703
-0.80, 4.80568
-0.75, 5.41383
-0.70, 6.07640
-0.65, 6.75673
-0.60, 7.47182
-0.55, 8.21863
-0.50, 8.96751
-0.45, 9.73226
-0.40, 10.48590
-0.35, 11.23113
-0.30, 11.99365
-0.25, 12.76538
-0.20, 13.54742
-0.15, 14.30201
-0.10, 15.05803
-0.05, 15.81786
0.00, 16.57023
0.05, 17.31419
0.10, 18.03118
0.15, 18.73468
0.20, 19.38916
0.25, 19.99445
0.30, 20.53453
0.35, 20.99544
0.40, 21.36226
0.45, 21.62183
0.50, 21.79683
0.55, 21.88965
0.60, 21.94407
0.65, 21.97358
